dataset,sigma,MAE,RMSE,MAPE,total_energy_j
sz,0.0,0.5434198975563049,0.6977679133415222,1.4899574518203735,285.9841829061507
sz,0.01,0.5412187576293945,0.6940353512763977,1.8667058944702148,284.1557185649871
sz,0.05,0.5379476547241211,0.6919964551925659,1.6243747472763062,279.1101099967956
sz,0.10,0.5491078495979309,0.700525164604187,1.6611229181289673,261.47440130710595
sz,0.20,0.5482936501502991,0.7015411853790283,1.5791542530059814,277.1523334503173
pems08,0.0,0.7616381645202637,0.9311754107475281,1.2480555772781372,2563.1210233449933
pems08,0.01,0.7763935923576355,0.9465248584747314,1.2915997505187988,2657.7013311862943
pems08,0.05,0.7714885473251343,0.9444594979286194,1.2562400102615356,2641.4319338083264
pems08,0.10,0.7418785095214844,0.9148688316345215,1.268731713294983,2716.0827650308606
pems08,0.20,0.7535325884819031,0.925733208656311,1.2584558725357056,2654.909374284744
los,0.0,0.020497847348451614,0.023735051974654198,0.915733277797699,242.2727388620376
los,0.01,0.019647307693958282,0.023244066163897514,0.8781976103782654,262.7147599935531
los,0.05,0.019440511241555214,0.02212139032781124,0.8683375716209412,272.23105447292323
los,0.10,0.019821705296635628,0.02272666059434414,0.8857623934745789,263.05691580772395
los,0.20,0.019580699503421783,0.022748881950974464,0.8754333257675171,246.37902145385738
